qname;name;award_type;year_of_fellowship;gender;num_papers;num_papers_before_award;num_papers_during_award;num_papers_after_award;num_cites;num_cites_before_award;num_cites_during_award;num_cites_after_award;num_coauthors;num_of_self_cites
Kewley, L;Lisa Kewley;Hubble;2004;f;20;8;3;6;3800;123;281;3396;73;0
Bowler, B;Brendan Bowler;Hubble;2016;m;15;15;0;0;423;423;0;0;75;0
Robinson, T;Tyler Robinson;Sagan;2015;m;69;68;1;0;512;493;19;0;75;0
Chen, H;Hsiao-Wen Chen;Hubble;2002;m;156;67;11;70;3136;790;168;2178;482;0
Whitaker, K;Katherine Whitaker;Hubble;2015;f;10;9;0;0;402;318;84;0;85;0
Fernandez, R;Rodgrigo Fernandez;Einstein;2009;m;23;5;4;8;455;55;60;340;36;0
Gladders, M;Michael Gladders;Hubble;2005;m;13;9;1;2;880;176;145;559;54;0
Petropoulou, M;Maria Petropoulou;Einstein;2013;f;17;6;10;0;80;16;64;0;27;0
Lee, J;Jeong-Eun Lee;Hubble;2005;m;331;117;40;144;5443;1146;460;3837;888;0
Buote, D;David Buote;Einstein;1998;m;33;11;6;11;1779;132;152;1495;41;0
Dupuy, T;Trent Dupuy;Hubble;2010;m;14;4;2;4;425;18;115;292;46;0
Bureau, M;Martin Bureau;Hubble;2001;m;14;7;1;6;581;77;51;453;54;0
Kraus, A;Adam Kraus;Hubble;2009;m;26;14;3;4;1013;181;150;682;86;0
Murase, K;Kohta Murase;Hubble;2012;m;38;24;7;0;896;371;455;70;65;0
Green, P;Paul Green;Hubble;1992;m;43;15;2;21;1264;64;53;1147;163;0
Jang-Condell, H;Hannah Jang-Condell;Sagan;2007;f;15;5;3;4;226;49;41;136;17;0
Tycner, C;Christopher Tycner;Sagan;2004;m;11;3;3;2;167;2;23;142;47;0
Hopkins, A;Andrew Hopkins;Hubble;2001;m;23;8;4;8;2477;38;113;2326;169;0
Choquet, E;Elodie Choquet;Hubble;2015;f;3;2;1;0;1;0;1;0;31;0
Behroozi, P;Peter Behroozi;Hubble;2015;m;13;9;0;0;829;660;169;0;49;0
